district	huyện
metro	tàu điện
sohotel	khách sạn
shell	vỏ
fireworks	bắn pháo hoa
wc	nhà vệ sinh
petite	nhỏ
train	xe lửa
teen	tuổi teen
execelent	thông minh
balcony	ban công
buiding	xây dựng
halong	hạ long
offputting	đặt ra
hammers	búa
understand	hiểu biết
bedrooms	phòng ngủ
apartments	căn hộ
spaghetti	mì ống ý
kictchen	phòng bếp
different	khác nhau
wasnt	không
connection	kết nối
buggy	có lỗi
dudes	anh chàng
tragedia	bi kịch
snotty	lém lỉnh
door	cửa
eveyone	tất cả mọi người
jenny	cú chọc
red	đỏ
skyping	bay lên
pricy	quý giá
gateman	người gác cổng
deep	sâu
amazibg	kinh ngạc
sorry	lấy làm tiếc
tonic	thuốc bổ
robot	người máy
duc	đức
cpmpletely	hoàn toàn
cottage	nhà tranh
washing	rửa
simoly	đơn giản
iphone	điện thoại iphone
hot	nóng bức
file	tập tin
zero	số không
bungalow	nhà gỗ
writting	viết lách
exec	người điều hành
shelter	nơi trú ẩn
hideway	ẩn đi
bungalows	nhà gỗ
thumb	ngón tay cái
three	số ba
amber	hổ phách
wait	chờ đợi
everybody	mọi người
familydinners	gia đình
makeup	trang điểm
backless	không có lưng
gym	phòng thể dục
resraurent	nhà hàng
normal	bình thường
bich	bạch dương
smarttv	tv thông minh
your	của bạn
photo	tấm ảnh
luv	yêu
shop	cửa tiệm
previous	trước
comes	đến
stars	các ngôi sao
omeletts	trứng tráng
wouldn	sẽ không
wpuld	sẽ
attracfion	sự hấp dẫn
nightmarket	chợ đêm
alquilar	giống nhau
splendid	lộng lẫy
fantasic	tuyệt diệu
godd	trời ơi
horrendous	kinh khủng
amply	đủ
triet	triết
compering	so sánh
xouldnt	không thể
rolls	bánh cuốn
foreign	ngoại quốc
wide	rộng
moons	mặt trăng
mushroom	nấm
khoi	khôi
connect	kết nối
capsule	viên con nhộng
pen	cây bút
canal	con kênh
impression	ấn tượng
pudding	bánh pudding
craving	thèm muốn
quitely	chuyên tâm
bonsai	cây cảnh
demanded	yêu cầu
kingsize	cỡ lớn
loop	vòng
main	chủ yếu
frienfly	thân thiện
perle	lần
hometown	quê nhà
resteraunt	nhà hàng
forvthem	cho họ
cafebar	quán cà phê
weekeind	cuối tuần
definetely	chắc chắn
scarlet	đỏ tươi
travelers	du khách
nham	nhâm
box	cái hộp
take	lấy
lougnge	phòng chờ
takeaway	lấy đi
clran	dọn dẹp
rent	thuê
vie	tranh giành
skylight	giếng trời
rip	yên nghỉ
vile	hèn hạ
music	âm nhạc
unintrested	không quan tâm
pesonally	cá nhân
holtel	khách sạn
plum	mận
outside	ở ngoài
surfshop	cửa hàng lướt sóng
litter	xả rác
wheel	bánh xe
visit	chuyến thăm
freestanding	tự do
lay	đặt nằm
ficility	cơ sở
ref	tham khảo
nomad	du mục
bugs	lỗi
trick	lừa
homecooking	nấu ăn ở nhà
was	đã
bulgalow	nhà gỗ
aquaculture	nuôi trồng thủy sản
quaint	cổ kính
style	phong cách
pancakes	bánh xèo
babysister	người trông trẻ
problem	vấn đề
temptation	sự cám dỗ
fish	cá
incthe	bên trong
comportable	có thể so sánh được
toasty	ăn ngon
maverlous	kỳ diệu
hay	cỏ khô
rette	nói lại
idea	ý tưởng
keeping	duy trì
overnighter	quá sức
to	đến
laneway	làn đường
rang	reo lên
price	giá bán
creating	tạo ra
memorable	đáng nhớ
gold	vàng
haipong	hải phòng
arpril	tháng tư
already	đã sẵn sàng
goings	đi
stank	ngân hàng
nutella	bơm
wouldnt	sẽ không
evetything	mọi điều
traveler	lữ khách
nastiest	xấu nhất
lag	lỗi
loudly	ầm ĩ
single	độc thân
cup	cốc
pi	số pi
fusty	xưa
unprofessional	không chuyên nghiệp
does	làm
basil	húng quế
beware	chăm sóc
dificult	khó khăn
pad	tập giấy
executive	điều hành
rockhard	đá cứng
seahorse	cá ngựa
salamanders	kỳ nhông
thrue	xuyên qua
heaven	thiên đường
frendship	hữu nghị
detox	giải độc
i	tôi
christine	nguyên sơ
were	là
ocean	đại dương
sandwich	bánh mì sandwich
garde	làm vườn
backpacker	tây ba lô
excutive	điều hành
receipt	biên lai
fun	vui vẻ
rockclimbing	leo núi
times	lần
witho	với
walkie	máy đi bộ
retro	cổ điển
chillout	thư giãn
loug	lười biếng
rustic	mộc mạc
tri	tri kỉ
hue	huế
ao	áo dài
decorate	trang trí
swimming	bơi lội
flops	thất bại
everyday	hằng ngày
popped	xuất hiện
mon	thứ hai
styles	phong cách
side	bên
thy	của mày
part	phần
papermap	bản đồ giấy
media	phương tiện truyền thông
meals	bữa ăn
chat	trò chuyện
free	miễn phí
kicked	đá
century	thế kỷ
teeup	thiếu niên
queen	nữ hoàng
freedomland	đất tự do
safebox	két sắt
airy	thoáng đãng
professionalism	sự chuyên nghiệp
online	trực tuyến
downtown	trung tâm thành phố
quan	quân
houseskipping	bỏ nhà đi
sat	đã ngồi
moan	kêu van
fullmoon	trăng tròn
restraunt	nhà hàng
tittle	nói nhỏ
bespoke	thiết kế riêng
bud	chồi
feet	đôi chân
spread	lây lan
code	mã
bol	bu lông
holiday	ngày lễ
buck	cái xô
refresh	làm tươi
passport	hộ chiếu
mosquitoes	muỗi
navy	hải quân
selected	đã chọn
auguest	tháng tám
ratt	tiếng lục lạc
lung	phổi
loan	tiền vay
uncel	bỏ chọn
familly	gia đình
camel	lạc đà
viatnam	việt nam
deco	trang trí
asia	châu á
buffer	đệm
againj	lạij
pillow	cái gối
boo	ụt
flan	bánh flan
kayak	chèo xuồng
noisebed	giường ồn ào
worse	tệ hơn
terrible	khủng khiếp
coffee	cà phê
execellent	thông minh
avatar	hình đại diện
xen	xen kẽ
hit	đánh
hishown	của mình
friends	bạn bè
poor	nghèo
understatement	sự nói nhỏ
item	mục
bout	cơn
sun	mặt trời
skylit	bầu trời
edition	phiên bản
verygood	rất tốt
name	tên
resp	đáp lại
shower	vòi sen
zakuzi	bể sục
familie	gia đình
mat	chiếu
men	đàn ông
platinum	bạch kim
expierience	kinh nghiệm
damg	chết tiệt
finds	tìm thấy
hochiminh	hồ chí minh
bed	giường
lcrthanks	lcr cảm ơn
masseuses	mát xa
grill	nướng
kitty	mèo con
cake	bánh ngọt
nightbus	xe buýt đêm
worth	thật
nhanh	nhanh chóng
castaway	người đi thiến
boggling	nói dối
mins	phút
cathedral	nhà thờ lớn
pacific	thái bình dương
noi	không có i
asking	hỏi
fairy	nàng tiên
croak	lạch cạch
supper	bữa tối
shops	cửa hàng
breaky	vỡ vụn
beyound	vượt ra ngoài
foward	đi trước
therapist	nhà trị liệu
hut	túp lều
backpacer	tây ba lô
recommdable	đáng tin cậy
markets	thị trường
skate	giày trượt băng
sitting	ngồi
highland	cao nguyên
grand	lớn
thougt	nghĩ
diet	chế độ ăn
im	tôi
honking	bấm còi
emerald	ngọc lục bảo
brilliant	xuất sắc
tin	thiếc
marts	siêu thị
caring	quan tâm
size	kích thước
built	được xây dựng
exepcted	hy vọng
spacious	rộng rãi
her	cô ấy
tailormade	may rủi
toiletteries	đồ dùng vệ sinh
noodle	bún
omelett	trứng tráng
tjrough	xuyên qua
camellia	hoa trà
calibre	tầm cỡ
cuong	cường
hesitant	do dự
air	không khí
kidclub	câu lạc bộ trẻ em
luggage	hành lý
jan	tháng một
goodrecommend	chúc mừng
ambassdor	đại sứ
grande	ông lớn
coop	chuồng ngựa
some	một số
faff	ngu ngốc
buss	hôn
bowngalows	nhà gỗ
palm	lòng bàn tay
fully	đầy đủ
white	trắng
seashell	vỏ sò
unfogetble	không thể lay chuyển
come	đến
vietnamise	tiếng việt
eco	sinh thái
will	sẽ
soon	sớm
vegan	thuần chay
outting	đi chơi
experirence	kinh nghiệm
packbacker	tây ba lô
pleasure	vui lòng
trekking	đi bộ đường dài
mbps	mb / giây
discutiendo	phản đối
nguyen	nguyễn
ton	tấn
percent	phần trăm
khoai	khoai tây
fammily	gia đình
waiter	phục vụ nam
honeymoon	tuần trăng mật
flowers	những bông hoa
omeletes	trứng tráng
laptop	máy tính xách tay
pooltable	hồ bơi
frieldly	thân thiện
pastel	màu phấn
shhhhh	suỵt
genuine	chính hãng
centrally	trung ương
confort	kết tội
trasfering	chuyển giao
thoai	thoại
not	không phải
safe	an toàn
became	đã trở thành
homemade	tự làm
shoutout	la lên
mildew	nấm mốc
authentic	xác thực
catcat	mèo mèo
type	kiểu
receptionist	lễ tân
restrurant	nhà hàng
loved	yêu
orchidees	tinh hoàn
barroness	nam tước
cleanstaff	làm sạch
damage	hư hại
mouldy	bị mốc
counter	quầy tính tiền
seasde	bờ biển
cruise	du thuyền
quots	dấu ngoặc kép
helpful	hữu ích
year	năm
count	đếm
glazed	tráng men
ultra	cực kỳ
trek	đi bộ
glad	vui vẻ
at	tại
sting	châm chích
outstanding	nổi bật
drawers	ngăn kéo
loope	dây buộc
shittier	dở hơi
beachside	bên bờ biển
htoel	khách sạn
switch	công tắc điện
zest	sự hăng hái
kiteboending	thả diều
cutee	dễ thương
cactusrine	cây xương rồng
worse	thật
brainstorming	động não
laze	ngủ quên
honnestly	thành thật
time	thời gian
had	đã có
phonecall	gọi điện
apologies	lời xin lỗi
location	vị trí
rickety	ọp ẹp
okthank	được rồi, cảm ơn
booking	đặt trước
luxury	sang trọng
accomodations	chỗ ở
watress	nữ phục vụ
introduced	giới thiệu
jack	giắc cắm
disapointed	thất vọng
hole	hố
oven	lò
quen	dập tắt
find	tìm thấy
soul	linh hồn
brunch	chiếc
stationall	trạm
visiting	thăm viếng
bufft	tiệc đứng
pay	trả
spesk	nói
squeaky	kêu cót két
landscaping	phong cảnh
division	sự phân chia
apt	đúng cách
restroom	phòng vệ sinh
receptie	người nhận
swipe	vuốt
thongs	dép lê
supprise	cung cấp
tea	trà
treks	chuyến đi
ziplines	dây khóa kéo
personas	cá tính
amieneties	hòa nhã
explor	giải thích
unkindly	không ngoan
nationalpark	công viên quốc gia
tennis	quần vợt
luminous	sáng
baskin	da bò
rendezvous	điểm hẹn
included	bao gồm
aqua	nước biển
before	trước
palace	cung điện
sage	hiền nhân
thom	thơm
vicent	nạn nhân
wayfinding	tìm đường
rates	giá
couples	các cặp đôi
cookies	bánh quy
iam	tôi là
outstandingly	xuất sắc
terracotta	đất nung
grouse	cằn nhằn
starlight	ánh sao
big	lớn
smoke	khói
missing	còn thiếu
maintainace	bảo trì
wildland	hoang dã
tet	ngày tết
sailing	thuyền buồm
charming	duyên dáng
drivermr	người lái xe
wester	miền tây
tab	chuyển hướng
duoing	bộ đôi
acoustic	âm thanh
maps	bản đồ
say	nói
kite	cánh diều
empty	trống
teracotta	đất nung
celsius	độ c
worthy	xứng đáng
immaculately	ngay lập tức
king	nhà vua
sum	tổng
amount	số tiền
amzing	kinh ngạc
hoit	cuốc đất
peace	sự thanh bình
trendy	hợp thời trang
tell	nói
frangipani	hoa sứ
poolbar	bể bơi
confy	hoa giấy
cook	nấu ăn
supervisor	người giám sát
jaccuzi	bể sục
thanknyou	cảm ơn bạn
backy	lưng chừng
cob	lõi ngô
highlight	điểm nổi bật
waterbungalows	cây nước
wolf	chó sói
bank	ngân hàng
choice	lựa chọn
pushy	tự đề cao
beautifull	đẹp đẽ
ailen	người ngoài hành tinh
awards	giải thưởng
resteraunts	nhà hàng
facilities	cơ sở vật chất
an	một
shade	bóng râm
leisure	giải trí
original	nguyên
livelier	sống động hơn
victory	chiến thắng
nightmare	ác mộng
specials	đặc biệt
cocobus	xe buýt
fitness	sự khỏe khoắn
floor	sàn nhà
where	ở đâu
uyen	uyên
frypans	chảo rán
annual	hàng năm
sunrise	bình minh
devoted	hết lòng
travellers	du khách
switches	chuyển đổi
tone	tấn
dicovery	khám phá
convinent	tiện lợi
strike	đình công
weeken	ngày cuối tuần
guidance	hướng dẫn
tien	tiến
rag	giẻ
twice	hai lần
theres	ở đó
smoothie	sinh tố
phai	phái
six	sáu
local	địa phương
onsen	suối nước nóng
staying	ở lại
takecare	bảo trọng
dope	gây nghiện
office	văn phòng
insight	cái nhìn sâu sắc
swindled	lừa dối
if	nếu
dryer	máy sấy khô
contact	tiếp xúc
gooseberries	quả lý gai
nobody	không ai
airlines	các hãng hàng không
ran	đã chạy
acoutic	âm thanh
reseption	tiếp nhận
shirt	áo sơ mi
khuong	khương
reconfirm	xác nhận lại
stuffs	chất liệu
kid	đứa trẻ
hall	đại sảnh
super	siêu
furniture	đồ nội thất
people	mọi người
reccomend	đề nghị
apartment	căn hộ, chung cư
server	người phục vụ
discount	giảm giá
peaceful	bình yên
cloud	đám mây
vientam	việt nam
delious	mê sảng
thuan	thuận
perfume	nước hoa
very	rất
yellownish	hơi vàng
bossman	ông chủ
dam	đầm
voting	biểu quyết
lights	đèn
homely	quê mùa
bedroom	phòng ngủ
sgranate	quả lựu
other	khác
occopancy	chiếm dụng
alas	chao ôi
jummy	vui vẻ
curt	cộc lốc
its	nó là
motobikes	xe máy
goumet	người sành ăn
chesses	cờ vua
clover	cỏ ba lá
screeching	rít lên
china	trung quốc
deli	đồ nguội
beerpong	thùng bia
orange	trái cam
belw	ợ
populars	bình dân
concierge	người hướng dẫn
whitehouse	nhà trắng
because	bởi vì
quynh	quỳnh
home	nhà
meatball	thịt viên
cloudy	nhiều mây
motor	động cơ
oops	giáo sư
elegance	trang nhã
behome	ở nhà
clup	tiếng vỗ tay
terible	khó khăn
casas	áo cà sa
glamour	sự hào nhoáng
anise	cây hồi
jazz	nhạc jazz
superior	cấp trên
higly	cao nhất
trainee	thực tập sinh
coustmer	khách hàng
grass	cỏ
fuss	làm phiền
estate	động sản
locatiom	địa điểm
tower	tòa tháp
vibe	rung cảm
depoait	tiền gửi
clip	kẹp
position	chức vụ
monsieur	ngài
fine	khỏe
siesta	ngủ trưa
put	đặt
viewfriendly	nhìn thân thiện
eftpose	đa năng
supperior	cấp trên
hesitate	do dự
entertaining	giải trí
bat	con dơi
can	có thể
brillant	rực rỡ
drinkand	uống rượu
lerendezvous	điểm hẹn
amore	tình yêu
olde	người già
messages	tin nhắn
syrup	xi-rô
whole	toàn bộ
romantic	lãng mạn
recomended	đề nghị
under	dưới
horse	con ngựa
obliging	nghĩa vụ
tripple	vấp ngã
personable	dễ thương
restaruants	nhà hàng
fruit	trái cây
fig	quả sung
charge	sạc điện
cititel	thành phố
freind	tự do
asked	yêu cầu
redicilous	nực cười
falling	rơi
installation	cài đặt
yourself	bản thân bạn
atmostphere	không khí
smudgy	nhòe nhoẹt
condotel	căn hộ du lịch
totsl	toàn bộ
mummas	mẹ
merrily	vui vẻ
groc	cái rãnh
thats	đó là
nacks	ngủ trưa
broken	bị hỏng
biggie	lớn
coffe	cà phê
ago	trước đây
bicicles	xe đạp
semaines	học kỳ
safety	sự an toàn
brightest	sáng nhất
auto	tự động
weekend	ngày cuối tuần
sligthly	nhẹ nhàng
housekeeper	người quản gia
kids	trẻ em
villlas	biệt thự
vuong	vương
sufing	lướt ván
night	đêm
beggining	bắt đầu
ticks	bọ ve
visiter	người đến thăm
wear	mặc
bambooforest	rừng tre
hr	giờ
modern	hiện đại
spider	con nhện
aquarius	bảo bình
gang	băng nhóm
pocky	có gai
zen	thiền học
specially	đặc biệt
number	con số
usa	hoa kỳ
detox	cai nghiện
apricot	quả mơ
consept	thông minh
destination	nơi đến
vietnamy	việt nam
void	vô hiệu
greek	người hy lạp
jackfruit	quả mít
recommnend	gợi ý
welcoming	chào mừng
sunlake	bông nắng
whelming	tiếng vo ve
natural	tự nhiên
jazcuzzi	bể sục
this	điều này
fact	thực tế
staben	đâm vào
vaction	kỳ nghỉ
spotlessley	không tì vết
lite	đọc nhẹ
mousquitos	muỗi
condiciona	lời chúc phúc
mom	mẹ
experiencd	kinh nghiệm
jewel	ngọc
anjoy	vui mừng
supercheap	siêu rẻ
unawnsered	không được trả lời
choice	sự lựa chọn
hotelexcellent	khách sạn tuyệt vời
scruffy	nhăn nhó
jacuzy	bể sục
mistake	sai lầm
romance	tình cảm
nuygen	nguyên
additional	bổ sung
lit	thắp sáng
vintage	cổ điển
overwater	trên mặt nước
others	khác
valley	thung lũng
beatufull	xinh đẹp
website	trang mạng
spicy	vị cay
room	phòng
please	xin vui lòng
sharing	chia sẻ
glod	lóng lánh
absolutely	chắc chắn rồi
inflatable	bơm hơi
decided	quyết định
stors	cửa hàng
almond	hạnh nhân
spaceous	rộng rãi
ourguide	hướng dẫn của chúng tôi
homestead	nhà ở
suong	sương
cooffe	cà phê
exploring	khám phá
toys	đồ chơi
recepcion	sự tiếp thu
famous	nổi danh
hard	cứng
seacond	tàu biển
manor	trang viên
conveniences	tiện nghi
suggest	đề xuất
badroom	phòng xấu
department	phòng ban
indochina	đông dương
picnic	đi chơi picnic
smartwach	đồng hồ thông minh
riverfront	bờ sông
jubbly	vui mừng
rocks	đá
hippo	con hà mã
planet	hành tinh
ane	một
trademills	máy chạy bộ
forever	mãi mãi
swan	thiên nga
promenades	lối đi dạo
years	năm
tet	tết
are	chúng tôi
coke	than cốc
weve	cỏ dại
afwul	kinh khủng
lucky	may mắn
sisters	chị em gái
pistachio	hạt dẻ cười
tub	bồn tắm
falls	ngã
barely	vừa đủ
er	ờ
backdrop	phông nền
recommendation	sự giới thiệu
wellnes	sức khỏe
vivid	sống động
reort	sắp xếp lại
shoppingtour	đi du lịch mua sắm
cagle	ca khúc
backpackers	du khách ba lô
gout	bệnh gout
inn	quán trọ
rememberable	có thể nhớ được
corteous	nhã nhặn
tiger	con hổ
istay	tôi ở lại
geap	nuốt nước bọt
threeway	ba cách
belly	bụng
tung	tùng
statt	trạng thái
guest	khách mời
compendiuem	bản tóm tắt
trend	khuynh hướng
locatoion	vị trí
definate	khử mùi
remode	làm lại
trails	đường mòn
premier	đứng đầu
passports	hướng dẫn
brunch	bữa nửa buổi
terraces	sân thượng
brown	nâu
ambiance	môi trường xung quanh
auditor	kiểm toán viên
beds	giường ngủ
asian	châu á
greet	chào
uno	không
wont	không
umkempt	nhếch nhác
placesurely	địa điểm
anchovy	cá cơm
voted	đã bình chọn
swimsuits	đồ bơi
bye	tạm biệt
thiem	thiêm
stacious	ngoan cố
etc	vân vân
hair	tóc
loking	đang nhìn
noudles	mì
forth	ra ngoài
friut	trái cây
yen	yên
complaint	lời phàn nàn
ourself	chính chúng ta
kit	bộ dụng cụ
we	chúng tôi
stinks	bốc mùi
tip	tiền boa
ancient	cổ xưa
agradable	nông nổi
meeting	gặp gỡ
redcommend	tuyên dương
photos	ảnh chụp
urbanhouse	nhà thành thị
sue	kiện
nghiem	nghiêm
googlemaps	bản đồ google
galaxy	ngân hà
sailinh	thuyền buồm
early	sớm
move	di chuyển
rude	thô lỗ
fiilling	đổ đầy
omelette	ốp lết
beeping	tiếng bíp
legacy	di sản
pros	ưu điểm
recommended	đề nghị
massager	máy mát xa
redy	đỏ tía
suit	bộ đồ
sale	giảm giá
decoration	trang trí
public	công cộng
serious	nghiêm trọng
meal	bữa ăn
waves	sóng
points	điểm
timesquare	quảng trường thời đại
microwave	lò vi sóng
kidsclub	câu lạc bộ trẻ em
windchimes	chuông gió
familydinners	bữa tiệc gia đình
written	bằng văn bản
recommanded	đề nghị
concerned	lo âu
mam	mẹ
christmas	giáng sinh
tunnels	địa đạo
ngyugen	nguyên
gdinh	gia định
allready	tất cả đã
hubbub	huyên náo
souvenir	quà lưu niệm
brillient	rực rỡ
empire	đế chế
dimly	lờ mờ
probably	có lẽ
theif	kẻ trộm
nachos	bánh nachos
ridiculously	nực cười
greeeeeennnnnnn	màu xanhnnnnnn
eccellent	tuyệt vời
fooled	bị lừa
international	quốc tế
hier	chào
daily	hằng ngày
breakfeat	bữa ăn sáng
future	tương lai
tuyen	tuyền
sightseeings	điểm tham quan
five	số năm
tolet	hãy để
ex	ví dụ
disco	sàn nhảy
dissapointing	thất vọng
raccomend	gợi ý
doesnt	không
excillent	thông minh
stupid	ngốc nghếch
dien	điền
flipflops	dép tông
hen	gà mái
pictures	những bức ảnh
firtsly	đầu tiên
elite	ưu tú
several	một số
tours	chuyến tham quan
ranh	ranh giới
improvement	cải tiến
loft	căn hộ nhỏ
twist	xoắn
lotus	rất nhiều
vietnamiese	tiếng việt
giat	con dê
hello	xin chào
information	thông tin
breastfast	thức ăn nhanh
marketing	tiếp thị
breaktime	giờ giải lao
riversive	sông
promissed	đã hứa
plantation	đồn điền
correct	chính xác
live	trực tiếp
extend	mở rộng
everythink	mọi suy nghĩ
car	xe hơi
beauty	sắc đẹp, vẻ đẹp
ciggies	xì gà
drew	đã vẽ
inclus	bao gồm
tube	ống
experienced	có kinh nghiệm
legit	hợp pháp
wholes	con điếm
fanastic	cuồng tín
smel	luyện kim
soleil	đất
thick	dày
lat	vĩ độ
amble	đi thong thả
solarsystem	hệ mặt trời
spaces	dấu cách
hazelnut	hạt phỉ
bager	người đóng thùng
life	đời sống
set	bộ
wonderfull	tuyệt vời
dreams	những giấc mơ
weeding	làm cỏ
rightly	đúng
clubhouse	nhà câu lạc bộ
interested	thú vị
emtpy	trống
snowy	có tuyết rơi
souvenier	vật lưu niệm
pandan	lá dứa
ifriends	bạn bè
awsome	tuyệt vời
present	hiện tại
welcoming	chào đón
pinnut	hạt dẻ
mytuor	gia sư của tôi
espessialy	đặc biệt
guinea	chuột lang
eclipse	nhật thực
average	trung bình cộng
mumma	mẹ
router	bộ định tuyến
summer	mùa hè
loacation	vị trí
hummed	ngâm nga
verry	tươi vui
beding	đi ngủ
quoc	quốc
seeview	ngăm cảnh
gecko	con tắc kè
ov	noãn
block	khối
complex	phức tạp
dvd	đĩa dvd
champagne	rượu sâm banh
lightning	tia chớp
mgr	đức cha
overrated	đánh giá quá cao
partier	người chia tay
shabby	tồi tàn
gave	đã cho
unbelievable	không thể tin được
pricerange	phạm vi giá
loc	lộc
looking	đang nhìn
cityit	thành phố
serviced	phục vụ
plugin	cắm vào
feral	hoang dã
chocol	sô cô la
plac	người khác
tusp	ngà voi
teambuiding	xây dựng nhóm
insane	điên
cuc	dưa chuột
grandkids	cháu gái
immerse	đắm
rose	hoa hồng
hooker	gái điếm
foriegner	người nước ngoài
minded	đầu óc
tarik	thuế quan
gieo	gieo hạt
hottub	bồn nước nóng
talkies	người nói chuyện
huffed	cáu kỉnh
games	trò chơi
kurd	người kurd
glomad	vui mừng
ecological	sinh thái
crap	tào lao
impolite	vô lễ
tidy	ngăn nắp
closeto	gần với
noise	tiếng ồn
accomadated	có chỗ ở
haven	trú ẩn
core	cốt lõi
duong	dương
coco	kén
trekking	leo núi
stress	nhấn mạnh
outweighed	vượt trội hơn
viking	tên ông vua
expected	hy vọng
cherrys	quả anh đào
buon	buôn
here	đây
accommodation	chỗ ở
screen	màn
my	của tôi
road	đường
prime	nguyên tố
aurora	rạng đông
full	đầy
sower	người gieo giống
servives	dịch vụ
beep	tiếng kêu bíp
defenetely	chắc chắn
worth	đáng giá
intercontinental	xuyên lục địa
telly	truyền hình
cleaness	sạch sẽ
roftop	sân thượng
lilly	hoa loa kèn
stellar	thuộc về sao
hills	những ngọn đồi
spot	nơi
cuing	giám định
surely	chắc chắn
pleasant	hài lòng
bycicles	xe đạp
papaya	đu đủ
corn	ngô
babecue	tiệc nướng ngoài trời
mint	cây bạc hà
ladybird	bọ cánh cam
fee	học phí
prder	đặt hàng
hoast	nâng cao
backhome	về nhà
chai	cái ghế
remants	tàn dư
leo	sư tử
emplacement	sự thay thế
comofortable	thoải mái
sized	kích thước
iced	đóng băng
plek	cầu xin
yogurt	sữa chua
highway	xa lộ
hotelfriendly	khách sạn
peach	đào
wanna	muốn
tree	cây
footy	có chân
bigbus	xe buýt lớn
straff	lải nhải
freestyle	tự do
getaway	nơi nghỉ ngơi
signature	chữ ký
intercontinental	liên lục địa
treehouse	nhà trên cây
bday	sinh nhật
disapointing	thất vọng
unprovoked	vô cớ
toan	toàn
available	có sẵn
east	phía đông
revisited	đã duyệt lại
exqusite	tinh tế
press	nhấn
caving	hang động
central	trung tâm
apanda	một con gấu trúc
sheets	trang tính
higher	cao hơn
designed	thiết kế
burrow	hang hốc
deserves	xứng đáng
benifit	có lợi
accosted	tích lũy
bra	áo lót
sunbed	nằm phơi nắng
window	cửa sổ
recetionist	lễ tân
she	bà ấy
surperior	cấp trên
new	mới
ticket	vé
waters	nhiều nước
quit	thoát
attentive	niềm nở
places	nơi
ourselves	chính chúng ta
something	cái gì đó
alquiler	thuật ngữ
vision	tầm nhìn
located	nằm
ghotel	con ma cà rồng
tacky	dính chặt
lot	nhiều
court	tòa án
squalid	có vảy
italia	nước ý
case	trường hợp
mess	lộn xộn
pardise	thiên đường
offsite	ngoại vi
convention	quy ước
rendezuvous	điểm hẹn
sweat	mồ hôi
ddiscovery	khám phá
named	được đặt tên
ofcoz	tất nhiên
deal	thỏa thuận
deffinatley	chắc chắn
bum	ăn mày
scaming	lừa đảo
shock	sốc
pass	vượt qua
slings	cáp treo
superfresh	siêu tươi
unassuming	khiêm tốn
secure	đảm bảo
wife	người vợ
skilled	có tay nghề cao
having	đang có
lokation	chỗ ở
teabreak	tiệc trà
delicious	thơm ngon
tranquil	yên tĩnh
mrs	bà
nov	tháng 11
amentities	tiện nghi
finnegans	người finnegans
episode	tập phim
bull	bò đực
trap	bẩy
told	kể lại
japenese	tiếng nhật
cannot	không thể
sunway	đường đi nắng
wonton	hoành thánh
pruce	cắt tỉa
restuarants	nhà hàng
ect	vân vân
joy	vui sướng
resault	cướp lại
executie	người điều hành
lilac	tử đinh hương
junction	giao lộ
pretty	đẹp
pro	chuyên nghiệp
sunshine	ánh sáng mặt trời
pancake	bánh kếp
brick	gạch
carefull	chăm sóc đầy đủ
prebooked	đặt trước
impress	gây ấn tượng
least	ít nhất
saves	tiết kiệm
lost	mất đi
nom	nôm na
dine	ăn cơm trưa
matress	nệm
boom	bùng nổ
voucher	phiếu thưởng
kick	đá
khuya	đêm nay
bedbugs	rệp
acceptable	chấp nhận được
log	nhật ký
lazing	buồn ngủ
sakura	hoa anh đào
asap	càng sớm càng tốt
nirvana	niết bàn
address	địa chỉ
tiep	tiệp
tie	cà vạt
outstandig	nổi bật
truely	thực sự
wallop	bức tường
crocodile	cá sấu
backpackerville	ba lô
continue	tiếp tục
motorbike	xe máy
talk	nói chuyện
coconut	dừa
surise	bình minh
prises	mồi
tatty	rách nát
really	có thật không
xui	xui xẻo
precious	quí
taiwan	đài loan
wine	rượu
during	suốt trong
seahors	cá ngựa
heat	nhiệt
bear	chịu
aircond	điều hòa
belive	tin tưởng
servicea	dịch vụ
chest	ngực
buffolo	trâu
horrors	kinh dị
nerver	thần kinh
rural	nông thôn
extreme	cực
parc	bưu kiện
russian	tiếng nga
chanh	chánh
director	giám đốc
photoshopper	người chụp ảnh
awesom	tuyệt vời
pan	cái chảo
advance	nâng cao
coacroaches	con gián
poolside	bên hồ bơi
staffs	nhân viên
toasters	lò nướng bánh mì
card	thẻ
quartier	người khai hoang
balloon	quả bóng bay
drink	uống
howls	tiếng hú
lakside	bờ hồ
ginormous	to lớn
smmel	cười khẩy
toielt	phòng vệ sinh
breakffast	bữa ăn sáng
award	giải thưởng
cokes	than cốc
viet	việt
australia	châu úc
job	việc làm
peanut	đậu phụng
western	miền tây
lakeside	bờ hồ
dearest	thân yêu nhất
mother	mẹ
restaraunt	nhà hàng
kinh	dân tộc kinh
oldies	người già
absoluteparadise	tuyệt đối
accor	tố cáo
foret	báo trước
whales	cá voi
heck	quái
duvet	chăn bông
regal	quốc vương
sep	tháng chín
serioulsly	nghiêm túc
fajitas	cà ri
backagge	quay ngược lại
bugalow	nhà gỗ
noddles	gật gù
peninsula	bán đảo
higly	cao cấp
knowlegable	có kiến ​​thức
ngonthanks	ngoncảm ơn
ownwer	chủ nhân
cinema	rạp chiếu phim
cheer	vui lên
limestone	đá vôi
unfriedly	không thân thiện
